first_pick_side,enemy_order_1_hero,candidate_hero,response_count,normalized_response_score
ally,c1172,c2131,3,0.022842
ally,c1172,c2181,5,0.054361
ally,c1172,c2185,6,0.04714
ally,c1172,c5069,5,0.083683
ally,c1172,c5147,3,0.023548
ally,c1183,c2007,3,0.02489
ally,c1183,c2124,7,0.030763
ally,c1183,c2131,4,0.020851
ally,c1183,c2181,4,0.029775
ally,c1183,c2184,5,0.024628
ally,c1183,c2185,13,0.069929
ally,c1183,c5072,5,0.072655
ally,c1183,c5147,7,0.037619
ally,c1183,c5154,4,0.018686
ally,c1183,c6005,6,0.036168
ally,c2024,c5154,3,0.045771
ally,c2076,c2185,4,0.04969
ally,c2124,c1022,4,0.018615
ally,c2124,c1117,4,0.01958
ally,c2124,c1133,8,0.025953
ally,c2124,c1172,14,0.035514
ally,c2124,c1183,68,0.092091
ally,c2124,c2007,27,0.060137
ally,c2124,c2076,4,0.018796
ally,c2124,c2129,47,0.139955
ally,c2124,c2131,90,0.125951
ally,c2124,c2181,6,0.01199
ally,c2124,c2184,88,0.116368
ally,c2124,c2185,143,0.206506
ally,c2124,c4004,5,0.031709
ally,c2124,c5069,7,0.021534
ally,c2124,c5072,10,0.03901
ally,c2124,c5147,125,0.180345
ally,c2124,c5154,200,0.250823
ally,c2124,c6005,25,0.040458
ally,c2124,c6037,3,0.013219
ally,c2129,c2131,3,0.044233
ally,c2131,c2124,7,0.037975
ally,c2131,c2184,9,0.054724
ally,c2131,c5147,4,0.026536
ally,c2131,c5154,8,0.046133
ally,c2181,c1022,16,0.065486
ally,c2181,c1133,17,0.048505
ally,c2181,c1168,12,0.048649
ally,c2181,c1172,40,0.089242
ally,c2181,c1183,184,0.219161
ally,c2181,c2007,71,0.139083
ally,c2181,c2024,4,0.041739
ally,c2181,c2071,31,0.126879
ally,c2181,c2076,11,0.045461
ally,c2181,c2124,53,0.054996
ally,c2181,c2131,41,0.050464
ally,c2181,c2184,168,0.195387
ally,c2181,c2185,126,0.16003
ally,c2181,c5069,21,0.056817
ally,c2181,c5072,22,0.075481
ally,c2181,c5147,69,0.087555
ally,c2181,c5154,120,0.132359
ally,c2181,c5175,3,0.029514
ally,c2181,c6005,122,0.173642
ally,c2184,c1183,9,0.041125
ally,c2184,c2124,11,0.04379
ally,c2184,c2129,5,0.050237
ally,c2184,c2131,6,0.028332
ally,c2184,c5147,8,0.038944
ally,c2184,c5154,21,0.088862
ally,c2184,c6005,4,0.021841
ally,c2185,c1007,9,0.061865
ally,c2185,c1022,10,0.031615
ally,c2185,c1117,18,0.059858
ally,c2185,c1133,37,0.081547
ally,c2185,c1168,16,0.050105
ally,c2185,c1171,5,0.046536
ally,c2185,c1172,55,0.094785
ally,c2185,c1176,8,0.048744
ally,c2185,c1183,153,0.140768
ally,c2185,c2001,3,0.016588
ally,c2185,c2007,47,0.071118
ally,c2185,c2071,10,0.031615
ally,c2185,c2076,16,0.051078
ally,c2185,c2124,354,0.283744
ally,c2185,c2129,33,0.066759
ally,c2185,c2131,180,0.171134
ally,c2185,c2181,162,0.219932
ally,c2185,c2184,107,0.096125
ally,c2185,c4004,15,0.064626
ally,c2185,c4123,9,0.052978
ally,c2185,c5033,11,0.067023
ally,c2185,c5069,40,0.083596
ally,c2185,c5072,21,0.055655
ally,c2185,c5111,3,0.030587
ally,c2185,c5147,112,0.109778
ally,c2185,c5154,234,0.199369
ally,c2185,c6005,201,0.220983
ally,c2185,c6037,45,0.134709
ally,c5069,c1133,4,0.086468
ally,c5069,c2185,3,0.028868
ally,c5111,c2185,3,0.037268
ally,c5147,c1133,8,0.057968
ally,c5147,c1172,8,0.045327
ally,c5147,c1183,10,0.030249
ally,c5147,c2007,6,0.029849
ally,c5147,c2124,15,0.039528
ally,c5147,c2131,12,0.037509
ally,c5147,c2181,6,0.02678
ally,c5147,c2184,15,0.044304
ally,c5147,c2185,23,0.074186
ally,c5147,c4123,3,0.058058
ally,c5147,c5069,5,0.034355
ally,c5147,c5154,24,0.067227
ally,c5147,c6005,27,0.097593
ally,c5147,c6037,4,0.039367
ally,c5154,c1022,6,0.025926
ally,c5154,c1117,6,0.02727
ally,c5154,c1133,4,0.012049
ally,c5154,c1168,4,0.01712
ally,c5154,c1183,123,0.154669
ally,c5154,c2001,4,0.030229
ally,c5154,c2007,17,0.035157
ally,c5154,c2071,7,0.030247
ally,c5154,c2076,7,0.030542
ally,c5154,c2124,232,0.254153
ally,c5154,c2129,24,0.066358
ally,c5154,c2131,164,0.213104
ally,c5154,c2181,28,0.051954
ally,c5154,c2184,123,0.151023
ally,c5154,c2185,115,0.154199
ally,c5154,c5069,12,0.034276
ally,c5154,c5072,6,0.021733
ally,c5154,c5147,98,0.131283
ally,c5154,c6005,40,0.060105
ally,c6005,c1022,11,0.048094
ally,c6005,c1117,12,0.055187
ally,c6005,c1133,25,0.076199
ally,c6005,c1150,3,0.047292
ally,c6005,c1168,19,0.082284
ally,c6005,c1172,51,0.121549
ally,c6005,c1178,6,0.0715
ally,c6005,c1182,4,0.051486
ally,c6005,c1183,62,0.078888
ally,c6005,c2001,4,0.030587
ally,c6005,c2007,51,0.106723
ally,c6005,c2076,11,0.048563
ally,c6005,c2124,125,0.13856
ally,c6005,c2129,12,0.033572
ally,c6005,c2131,71,0.093352
ally,c6005,c2181,63,0.118282
ally,c6005,c2184,120,0.149087
ally,c6005,c2185,99,0.13432
ally,c6005,c4004,3,0.017875
ally,c6005,c5069,26,0.075145
ally,c6005,c5072,6,0.021991
ally,c6005,c5147,111,0.150461
ally,c6005,c5154,94,0.110757
ally,c6005,c5175,5,0.052547
enemy,c1168,c2181,4,0.047458
enemy,c1168,c2184,4,0.030514
enemy,c1168,c5154,4,0.03122
enemy,c1168,c6005,7,0.060489
enemy,c1172,c1133,3,0.060363
enemy,c1172,c2124,3,0.01989
enemy,c1172,c2131,4,0.029886
enemy,c1172,c2185,5,0.044163
enemy,c1172,c5069,4,0.084591
enemy,c1183,c2124,9,0.039279
enemy,c1183,c2131,5,0.024591
enemy,c1183,c2181,8,0.06003
enemy,c1183,c2184,4,0.019299
enemy,c1183,c2185,10,0.058143
enemy,c1183,c5072,4,0.058471
enemy,c1183,c5147,3,0.019662
enemy,c1183,c5154,3,0.014809
enemy,c1183,c6005,8,0.043722
enemy,c2007,c2184,4,0.037372
enemy,c2007,c6005,3,0.03175
enemy,c2076,c2007,3,0.056553
enemy,c2076,c2124,3,0.027105
enemy,c2076,c2185,4,0.048147
enemy,c2124,c1022,5,0.025497
enemy,c2124,c1117,6,0.035076
enemy,c2124,c1133,6,0.021291
enemy,c2124,c1172,10,0.028821
enemy,c2124,c1183,54,0.080745
enemy,c2124,c2001,4,0.029495
enemy,c2124,c2007,26,0.063427
enemy,c2124,c2076,4,0.019565
enemy,c2124,c2129,44,0.154513
enemy,c2124,c2131,102,0.134396
enemy,c2124,c2181,12,0.024123
enemy,c2124,c2184,107,0.138301
enemy,c2124,c2185,105,0.163555
enemy,c2124,c4004,6,0.035076
enemy,c2124,c5069,6,0.022377
enemy,c2124,c5072,13,0.050909
enemy,c2124,c5147,92,0.161536
enemy,c2124,c5154,177,0.234068
enemy,c2124,c6005,48,0.070278
enemy,c2131,c1183,3,0.016213
enemy,c2131,c2124,13,0.054935
enemy,c2131,c2129,3,0.038075
enemy,c2131,c2184,8,0.037372
enemy,c2131,c2185,5,0.028149
enemy,c2131,c5147,8,0.050767
enemy,c2131,c5154,14,0.066913
enemy,c2131,c6005,5,0.026458
enemy,c2181,c1022,16,0.076298
enemy,c2181,c1133,19,0.063047
enemy,c2181,c1168,9,0.039611
enemy,c2181,c1172,42,0.113198
enemy,c2181,c1183,147,0.205547
enemy,c2181,c2007,55,0.125469
enemy,c2181,c2024,16,0.088747
enemy,c2181,c2071,19,0.101024
enemy,c2181,c2076,13,0.059461
enemy,c2181,c2103,3,0.039611
enemy,c2181,c2124,33,0.036081
enemy,c2181,c2131,31,0.038196
enemy,c2181,c2184,159,0.192182
enemy,c2181,c2185,90,0.131096
enemy,c2181,c5069,13,0.045338
enemy,c2181,c5072,13,0.047607
enemy,c2181,c5111,4,0.052815
enemy,c2181,c5147,37,0.060751
enemy,c2181,c5154,94,0.116244
enemy,c2181,c5175,11,0.07262
enemy,c2181,c6005,121,0.165668
enemy,c2184,c1133,4,0.034199
enemy,c2184,c1172,5,0.034722
enemy,c2184,c1183,11,0.039631
enemy,c2184,c2007,3,0.017634
enemy,c2184,c2124,15,0.042258
enemy,c2184,c2129,7,0.059229
enemy,c2184,c2131,18,0.057145
enemy,c2184,c2181,9,0.043593
enemy,c2184,c2185,4,0.015013
enemy,c2184,c5072,4,0.037743
enemy,c2184,c5147,6,0.025384
enemy,c2184,c5154,31,0.098776
enemy,c2184,c6005,15,0.052917
enemy,c2184,c6037,4,0.039559
enemy,c2185,c1007,11,0.070893
enemy,c2185,c1022,5,0.017131
enemy,c2185,c1117,8,0.031422
enemy,c2185,c1133,26,0.061986
enemy,c2185,c1168,13,0.041108
enemy,c2185,c1172,39,0.07552
enemy,c2185,c1176,8,0.051558
enemy,c2185,c1183,148,0.148684
enemy,c2185,c2007,37,0.060643
enemy,c2185,c2024,12,0.047821
enemy,c2185,c2071,10,0.038201
enemy,c2185,c2076,20,0.065724
enemy,c2185,c2124,384,0.301652
enemy,c2185,c2129,21,0.049546
enemy,c2185,c2131,221,0.195642
enemy,c2185,c2181,143,0.193139
enemy,c2185,c2184,103,0.089446
enemy,c2185,c4004,18,0.0707
enemy,c2185,c5033,9,0.066134
enemy,c2185,c5069,27,0.067654
enemy,c2185,c5072,27,0.071039
enemy,c2185,c5147,64,0.075499
enemy,c2185,c5154,227,0.201687
enemy,c2185,c6005,204,0.200675
enemy,c2185,c6037,58,0.159948
enemy,c5069,c1133,3,0.056195
enemy,c5069,c2124,4,0.024689
enemy,c5069,c2185,4,0.032891
enemy,c5069,c5154,4,0.027924
enemy,c5069,c6005,3,0.023187
enemy,c5111,c2185,4,0.045038
enemy,c5147,c1117,3,0.028526
enemy,c5147,c1133,11,0.063487
enemy,c5147,c1168,5,0.038276
enemy,c5147,c1172,10,0.046879
enemy,c5147,c1183,13,0.031617
enemy,c5147,c2007,8,0.031743
enemy,c5147,c2124,35,0.066561
enemy,c5147,c2129,3,0.017135
enemy,c5147,c2131,21,0.045006
enemy,c5147,c2181,11,0.035967
