position_bucket,candidate_hero,enemy_hero,response_count,candidate_bucket_count,enemy_seen_count,normalized_response_score
10,c1007,c1020,8,36,46,0.196589
10,c1007,c1022,4,36,1011,0.020967
10,c1007,c1117,16,36,1352,0.072524
10,c1007,c1133,11,36,893,0.06135
10,c1007,c1168,13,36,907,0.071943
10,c1007,c1176,5,36,880,0.028092
10,c1007,c1178,3,36,405,0.024845
10,c1007,c1182,5,36,299,0.048193
10,c1007,c1183,3,36,1197,0.014452
10,c1007,c2007,4,36,644,0.02627
10,c1007,c2076,4,36,1071,0.020371
10,c1007,c2124,12,36,2195,0.042689
10,c1007,c2131,3,36,1420,0.013269
10,c1007,c2181,3,36,1192,0.014482
10,c1007,c2184,5,36,1481,0.021654
10,c1007,c2185,24,36,2401,0.081633
10,c1007,c4123,3,36,424,0.024282
10,c1007,c5069,12,36,1319,0.055069
10,c1007,c6005,3,36,1154,0.014719
10,c1007,c6024,4,36,375,0.034427
10,c1009,c2049,3,3,291,0.101535
10,c1020,c1007,14,18,119,0.302495
10,c1020,c1046,4,18,184,0.069505
10,c1020,c1117,3,18,1352,0.019231
10,c1020,c1133,4,18,893,0.03155
10,c1020,c1168,7,18,907,0.054785
10,c1020,c1172,3,18,1625,0.017541
10,c1020,c1178,3,18,405,0.035136
10,c1020,c2004,10,18,34,0.404226
10,c1020,c2007,4,18,644,0.037152
10,c1020,c2024,3,18,661,0.027503
10,c1020,c2112,3,18,182,0.052414
10,c1020,c2185,11,18,2401,0.052913
10,c1020,c5033,4,18,144,0.078567
10,c1020,c6005,5,18,1154,0.034692
10,c1022,c1007,10,411,119,0.045217
10,c1022,c1034,7,411,84,0.037674
10,c1022,c1046,24,411,184,0.087273
10,c1022,c1083,13,411,106,0.062283
10,c1022,c1103,12,411,149,0.048492
10,c1022,c1104,29,411,475,0.065634
10,c1022,c1109,4,411,107,0.019074
10,c1022,c1117,65,411,1352,0.087198
10,c1022,c1133,59,411,893,0.097388
10,c1022,c1143,22,411,230,0.071555
10,c1022,c1148,4,411,62,0.025058
10,c1022,c1150,3,411,51,0.020721
10,c1022,c1153,43,411,596,0.086881
10,c1022,c1160,4,411,39,0.031594
10,c1022,c1163,4,411,13,0.054723
10,c1022,c1168,66,411,907,0.108098
10,c1022,c1171,44,411,829,0.07538
10,c1022,c1172,92,411,1625,0.112575
10,c1022,c1176,36,411,880,0.05986
10,c1022,c1177,17,411,145,0.069638
10,c1022,c1178,10,411,405,0.02451
10,c1022,c1179,3,411,45,0.022059
10,c1022,c1182,14,411,299,0.039937
10,c1022,c1183,56,411,1197,0.07984
10,c1022,c2001,12,411,139,0.050206
10,c1022,c2007,53,411,644,0.103018
10,c1022,c2009,4,411,15,0.050944
10,c1022,c2024,18,411,661,0.034534
10,c1022,c2048,4,411,58,0.025907
10,c1022,c2049,15,411,291,0.043373
10,c1022,c2066,46,411,521,0.099407
10,c1022,c2071,25,411,604,0.050177
10,c1022,c2076,101,411,1071,0.152232
10,c1022,c2079,14,411,100,0.069057
10,c1022,c2080,11,411,138,0.046188
10,c1022,c2090,8,411,128,0.034879
10,c1022,c2103,31,411,619,0.06146
10,c1022,c2110,36,411,434,0.085239
10,c1022,c2112,10,411,182,0.036563
10,c1022,c2124,111,411,2195,0.116865
10,c1022,c2127,19,411,155,0.075278
10,c1022,c2129,69,411,1191,0.098622
10,c1022,c2131,83,411,1420,0.108646
10,c1022,c2132,7,411,88,0.036807
10,c1022,c2181,56,411,1192,0.080007
10,c1022,c2184,54,411,1481,0.069214
10,c1022,c2185,146,411,2401,0.146972
10,c1022,c4004,27,411,510,0.058974
10,c1022,c4123,12,411,424,0.028746
10,c1022,c5033,21,411,144,0.086321
10,c1022,c5046,3,411,20,0.033089
10,c1022,c5069,62,411,1319,0.084207
10,c1022,c5072,43,411,680,0.081338
10,c1022,c5082,4,411,39,0.031594
10,c1022,c5089,3,411,40,0.023398
10,c1022,c5110,10,411,67,0.060262
10,c1022,c5111,15,411,260,0.045886
10,c1022,c5154,99,411,1929,0.111186
10,c1022,c6005,74,411,1154,0.10745
10,c1022,c6017,3,411,96,0.015103
10,c1022,c6024,5,411,375,0.012736
10,c1022,c6037,62,411,792,0.10867
10,c1022,c6050,8,411,237,0.025633
10,c1034,c1022,5,72,1011,0.018532
10,c1034,c1091,5,72,136,0.050528
10,c1034,c1117,28,72,1352,0.089744
10,c1034,c1131,3,72,22,0.075378
10,c1034,c1133,4,72,893,0.015775
10,c1034,c1148,3,72,62,0.044901
10,c1034,c1153,8,72,596,0.038619
10,c1034,c1168,6,72,907,0.023479
10,c1034,c1171,19,72,829,0.07777
10,c1034,c1176,10,72,880,0.039728
10,c1034,c1178,6,72,405,0.035136
10,c1034,c1182,7,72,299,0.047709
10,c1034,c1183,24,72,1197,0.081752
10,c1034,c2007,3,72,644,0.013932
10,c1034,c2049,9,72,291,0.062177
10,c1034,c2071,3,72,604,0.014386
10,c1034,c2076,7,72,1071,0.025208
10,c1034,c2112,3,72,182,0.026207
10,c1034,c2124,35,72,2195,0.088041
10,c1034,c2129,29,72,1191,0.099032
10,c1034,c2131,16,72,1420,0.050039
10,c1034,c2181,21,72,1192,0.071683
10,c1034,c2184,6,72,1481,0.018374
10,c1034,c2185,4,72,2401,0.009621
10,c1034,c4004,10,72,510,0.052185
10,c1034,c4123,6,72,424,0.03434
10,c1034,c5069,6,72,1319,0.01947
10,c1034,c5072,4,72,680,0.018078
10,c1034,c5154,32,72,1929,0.085865
10,c1034,c6037,10,72,792,0.041877
10,c1046,c1022,4,40,1011,0.019891
10,c1046,c1117,4,40,1352,0.017201
10,c1046,c1168,7,40,907,0.036751
10,c1046,c1171,10,40,829,0.054915
10,c1046,c1172,11,40,1625,0.043146
10,c1046,c1178,3,40,405,0.02357
10,c1046,c1183,7,40,1197,0.03199
10,c1046,c2001,3,40,139,0.040233
10,c1046,c2024,3,40,661,0.01845
10,c1046,c2066,8,40,521,0.055417
10,c1046,c2076,7,40,1071,0.03382
10,c1046,c2110,3,40,434,0.022769
10,c1046,c2124,11,40,2195,0.037123
10,c1046,c2129,9,40,1191,0.041234
10,c1046,c2131,17,40,1420,0.07133
10,c1046,c2181,7,40,1192,0.032058
10,c1046,c2184,16,40,1481,0.065737
10,c1046,c4004,4,40,510,0.028006
10,c1046,c5069,6,40,1319,0.026122
10,c1046,c5154,20,40,1929,0.072
10,c1046,c6005,3,40,1154,0.013963
10,c1046,c6024,3,40,375,0.024495
10,c1046,c6037,4,40,792,0.022473
10,c1055,c1168,3,6,907,0.040667
10,c1055,c2124,5,6,2195,0.043569
10,c1055,c2129,4,6,1191,0.047318
10,c1055,c2131,4,6,1420,0.043335
10,c1055,c2184,3,6,1481,0.031825
10,c1060,c1133,7,14,893,0.062605
10,c1060,c1153,3,14,596,0.032842
10,c1060,c2090,12,14,128,0.283473
10,c1060,c2124,3,14,2195,0.017114
10,c1060,c5069,6,14,1319,0.044153
10,c1060,c5154,7,14,1929,0.042596
10,c1060,c6005,3,14,1154,0.023602
10,c1065,c1020,5,5,46,0.32969
10,c1065,c2024,3,5,661,0.052184
10,c1065,c2185,5,5,2401,0.045634
10,c1076,c1172,4,6,1625,0.04051
10,c1076,c2066,4,6,521,0.071543
10,c1076,c2129,3,6,1191,0.035489
10,c1076,c2131,3,6,1420,0.032501
10,c1083,c1022,4,29,1011,0.023361
10,c1083,c1117,6,29,1352,0.030301
10,c1083,c1133,3,29,893,0.018642
10,c1083,c1172,4,29,1625,0.018426
10,c1083,c1176,28,29,880,0.175274
10,c1083,c1183,4,29,1197,0.021469
10,c1083,c2071,3,29,604,0.022668
10,c1083,c2124,8,29,2195,0.031708
10,c1083,c2129,9,29,1191,0.048427
10,c1083,c2131,10,29,1420,0.049278
10,c1083,c2181,7,29,1192,0.03765
10,c1083,c2184,5,29,1481,0.024126
10,c1083,c2185,9,29,2401,0.034107
10,c1083,c4123,5,29,424,0.045091
10,c1083,c5069,3,29,1319,0.015339
10,c1083,c5154,12,29,1929,0.050736
10,c1091,c1034,4,64,84,0.054554
10,c1091,c1046,3,64,184,0.027645
10,c1091,c1083,4,64,106,0.048564
10,c1091,c1104,7,64,475,0.040148
10,c1091,c1117,3,64,1352,0.010199
10,c1091,c1133,3,64,893,0.012549
10,c1091,c1168,5,64,907,0.020753
10,c1091,c1172,48,64,1625,0.148842
10,c1091,c1176,5,64,880,0.021069
10,c1091,c1177,3,64,145,0.031142
10,c1091,c1178,3,64,405,0.018634
10,c1091,c1183,3,64,1197,0.010839
10,c1091,c2007,8,64,644,0.039406
10,c1091,c2024,52,64,661,0.252821
10,c1091,c2076,5,64,1071,0.019098
10,c1091,c2080,12,64,138,0.127688
10,c1091,c2110,20,64,434,0.120004
10,c1091,c2124,7,64,2195,0.018676
10,c1091,c2184,15,64,1481,0.048722
10,c1091,c2185,35,64,2401,0.089286
10,c1091,c5069,3,64,1319,0.010325
10,c1091,c5154,21,64,1929,0.059767
10,c1091,c6005,16,64,1154,0.058874
10,c1091,c6037,6,64,792,0.02665
10,c1091,c6050,3,64,237,0.024359
10,c1103,c1022,7,98,1011,0.022239
10,c1103,c1104,6,98,475,0.027809
10,c1103,c1117,19,98,1352,0.052198
10,c1103,c1133,41,98,893,0.138594
10,c1103,c1168,4,98,907,0.013417
10,c1103,c1171,4,98,829,0.014034
10,c1103,c1172,13,98,1625,0.032576
10,c1103,c1176,3,98,880,0.010216
10,c1103,c1178,7,98,405,0.035136
10,c1103,c1182,3,98,299,0.017526
10,c1103,c1183,9,98,1197,0.026277
10,c1103,c2024,8,98,661,0.031432
10,c1103,c2071,4,98,604,0.016441
10,c1103,c2076,9,98,1071,0.02778
10,c1103,c2079,4,98,100,0.040406
10,c1103,c2090,13,98,128,0.116071
10,c1103,c2102,3,98,66,0.037302
10,c1103,c2110,29,98,434,0.140618
10,c1103,c2124,10,98,2195,0.021561
10,c1103,c2127,8,98,155,0.06491
10,c1103,c2129,9,98,1191,0.026344
10,c1103,c2131,14,98,1420,0.037529
10,c1103,c2181,13,98,1192,0.038036
10,c1103,c2184,22,98,1481,0.057747
10,c1103,c2185,45,98,2401,0.092769
10,c1103,c5069,70,98,1319,0.194698
10,c1103,c5072,21,98,680,0.081349
10,c1103,c5149,3,98,45,0.045175
10,c1103,c5154,21,98,1929,0.048299
10,c1103,c6005,20,98,1154,0.059472
10,c1103,c6024,5,98,375,0.026082
10,c1103,c6037,7,98,792,0.025126
10,c1103,c6050,6,98,237,0.03937
10,c1104,c1022,15,144,1011,0.039313
10,c1104,c1091,3,144,136,0.021437
10,c1104,c1109,4,144,107,0.032225
10,c1104,c1117,23,144,1352,0.052126
10,c1104,c1133,4,144,893,0.011155
10,c1104,c1153,12,144,596,0.040962
10,c1104,c1168,6,144,907,0.016602
10,c1104,c1171,7,144,829,0.02026
10,c1104,c1172,12,144,1625,0.024807
10,c1104,c1176,77,144,880,0.216306
10,c1104,c1178,4,144,405,0.016563
10,c1104,c1183,56,144,1197,0.134884
10,c1104,c2007,10,144,644,0.032838
10,c1104,c2008,3,144,16,0.0625
10,c1104,c2024,5,144,661,0.016206
10,c1104,c2049,3,144,291,0.014655
10,c1104,c2066,3,144,521,0.010953
10,c1104,c2071,16,144,604,0.054253
10,c1104,c2076,8,144,1071,0.020371
10,c1104,c2103,8,144,619,0.026796
10,c1104,c2110,4,144,434,0.016001
10,c1104,c2113,7,144,134,0.050392
10,c1104,c2124,41,144,2195,0.072926
10,c1104,c2129,30,144,1191,0.072441
10,c1104,c2131,34,144,1420,0.075189
10,c1104,c2181,17,144,1192,0.041033
10,c1104,c2184,32,144,1481,0.069293
10,c1104,c2185,37,144,2401,0.062925
10,c1104,c4004,14,144,510,0.051661
10,c1104,c4123,9,144,424,0.036423
10,c1104,c4158,3,144,33,0.043519
10,c1104,c5069,18,144,1319,0.041302
10,c1104,c5072,5,144,680,0.015978
10,c1104,c5154,42,144,1929,0.07969
10,c1104,c6005,28,144,1154,0.068687
10,c1104,c6024,79,144,375,0.339962
10,c1104,c6037,19,144,792,0.056261
